PeriodEnd,PeriodStart,Period,AirTemp,Dni
2018-12-31T00:30:00Z,2018-12-31T00:15:00Z,PT15M,6.7,0
2018-12-31T00:45:00Z,2018-12-31T00:30:00Z,PT15M,6.7,0
2018-12-31T01:00:00Z,2018-12-31T00:45:00Z,PT15M,6.7,0
2018-12-31T01:15:00Z,2018-12-31T01:00:00Z,PT15M,6.7,0
2018-12-31T01:30:00Z,2018-12-31T01:15:00Z,PT15M,6.7,0
2018-12-31T01:45:00Z,2018-12-31T01:30:00Z,PT15M,6.8,0
2018-12-31T02:00:00Z,2018-12-31T01:45:00Z,PT15M,6.8,0
2018-12-31T02:15:00Z,2018-12-31T02:00:00Z,PT15M,6.8,0
2018-12-31T02:30:00Z,2018-12-31T02:15:00Z,PT15M,6.8,0
2018-12-31T02:45:00Z,2018-12-31T02:30:00Z,PT15M,6.8,0
2018-12-31T03:00:00Z,2018-12-31T02:45:00Z,PT15M,6.8,0
2018-12-31T03:15:00Z,2018-12-31T03:00:00Z,PT15M,6.8,0
2018-12-31T03:30:00Z,2018-12-31T03:15:00Z,PT15M,6.7,0
2018-12-31T03:45:00Z,2018-12-31T03:30:00Z,PT15M,6.6,0
2018-12-31T04:00:00Z,2018-12-31T03:45:00Z,PT15M,6.5,0
2018-12-31T04:15:00Z,2018-12-31T04:00:00Z,PT15M,6.4,0
2018-12-31T04:30:00Z,2018-12-31T04:15:00Z,PT15M,6.4,0
2018-12-31T04:45:00Z,2018-12-31T04:30:00Z,PT15M,6.3,0
2018-12-31T05:00:00Z,2018-12-31T04:45:00Z,PT15M,6.2,0
2018-12-31T05:15:00Z,2018-12-31T05:00:00Z,PT15M,6.1,0
2018-12-31T05:30:00Z,2018-12-31T05:15:00Z,PT15M,6.0,0
2018-12-31T05:45:00Z,2018-12-31T05:30:00Z,PT15M,5.9,0
2018-12-31T06:00:00Z,2018-12-31T05:45:00Z,PT15M,5.8,0
2018-12-31T06:15:00Z,2018-12-31T06:00:00Z,PT15M,5.8,0
2018-12-31T06:30:00Z,2018-12-31T06:15:00Z,PT15M,5.8,0
2018-12-31T06:45:00Z,2018-12-31T06:30:00Z,PT15M,5.8,0
2018-12-31T07:00:00Z,2018-12-31T06:45:00Z,PT15M,5.8,0
2018-12-31T07:15:00Z,2018-12-31T07:00:00Z,PT15M,5.8,0
2018-12-31T07:30:00Z,2018-12-31T07:15:00Z,PT15M,5.8,0
2018-12-31T07:45:00Z,2018-12-31T07:30:00Z,PT15M,5.8,0
2018-12-31T08:00:00Z,2018-12-31T07:45:00Z,PT15M,5.8,0
2018-12-31T08:15:00Z,2018-12-31T08:00:00Z,PT15M,5.8,51
2018-12-31T08:30:00Z,2018-12-31T08:15:00Z,PT15M,5.8,240
2018-12-31T08:45:00Z,2018-12-31T08:30:00Z,PT15M,5.8,457
2018-12-31T09:00:00Z,2018-12-31T08:45:00Z,PT15M,5.9,564
2018-12-31T09:15:00Z,2018-12-31T09:00:00Z,PT15M,6.2,632
2018-12-31T09:30:00Z,2018-12-31T09:15:00Z,PT15M,6.8,684
2018-12-31T09:45:00Z,2018-12-31T09:30:00Z,PT15M,7.3,726
2018-12-31T10:00:00Z,2018-12-31T09:45:00Z,PT15M,7.9,760
2018-12-31T10:15:00Z,2018-12-31T10:00:00Z,PT15M,8.5,788
2018-12-31T10:30:00Z,2018-12-31T10:15:00Z,PT15M,9.1,810
2018-12-31T10:45:00Z,2018-12-31T10:30:00Z,PT15M,9.7,829
2018-12-31T11:00:00Z,2018-12-31T10:45:00Z,PT15M,10.3,791
2018-12-31T11:15:00Z,2018-12-31T11:00:00Z,PT15M,10.9,757
2018-12-31T11:30:00Z,2018-12-31T11:15:00Z,PT15M,11.5,803
2018-12-31T11:45:00Z,2018-12-31T11:30:00Z,PT15M,12.1,761
2018-12-31T12:00:00Z,2018-12-31T11:45:00Z,PT15M,12.6,747
2018-12-31T12:15:00Z,2018-12-31T12:00:00Z,PT15M,13.0,561
2018-12-31T12:30:00Z,2018-12-31T12:15:00Z,PT15M,13.1,729
2018-12-31T12:45:00Z,2018-12-31T12:30:00Z,PT15M,13.3,883
2018-12-31T13:00:00Z,2018-12-31T12:45:00Z,PT15M,13.4,884
2018-12-31T13:15:00Z,2018-12-31T13:00:00Z,PT15M,13.5,880
2018-12-31T13:30:00Z,2018-12-31T13:15:00Z,PT15M,13.6,875
2018-12-31T13:45:00Z,2018-12-31T13:30:00Z,PT15M,13.7,868
2018-12-31T14:00:00Z,2018-12-31T13:45:00Z,PT15M,13.9,859
2018-12-31T14:15:00Z,2018-12-31T14:00:00Z,PT15M,14.0,848
2018-12-31T14:30:00Z,2018-12-31T14:15:00Z,PT15M,14.1,834
2018-12-31T14:45:00Z,2018-12-31T14:30:00Z,PT15M,14.2,817
2018-12-31T15:00:00Z,2018-12-31T14:45:00Z,PT15M,14.3,797
2018-12-31T15:15:00Z,2018-12-31T15:00:00Z,PT15M,14.3,772
2018-12-31T15:30:00Z,2018-12-31T15:15:00Z,PT15M,14.2,742
2018-12-31T15:45:00Z,2018-12-31T15:30:00Z,PT15M,14.0,706
2018-12-31T16:00:00Z,2018-12-31T15:45:00Z,PT15M,13.9,662
2018-12-31T16:15:00Z,2018-12-31T16:00:00Z,PT15M,13.7,606
2018-12-31T16:30:00Z,2018-12-31T16:15:00Z,PT15M,13.5,534
2018-12-31T16:45:00Z,2018-12-31T16:30:00Z,PT15M,13.4,406
2018-12-31T17:00:00Z,2018-12-31T16:45:00Z,PT15M,13.2,194
2018-12-31T17:15:00Z,2018-12-31T17:00:00Z,PT15M,13.1,37
2018-12-31T17:30:00Z,2018-12-31T17:15:00Z,PT15M,12.9,1
