PeriodEnd,PeriodStart,Period,AirTemp,Dni
2020-12-21T00:30:00Z,2020-12-21T00:15:00Z,PT15M,13.2,0
2020-12-21T00:45:00Z,2020-12-21T00:30:00Z,PT15M,13.2,0
2020-12-21T01:00:00Z,2020-12-21T00:45:00Z,PT15M,13.1,0
2020-12-21T01:15:00Z,2020-12-21T01:00:00Z,PT15M,13.1,0
2020-12-21T01:30:00Z,2020-12-21T01:15:00Z,PT15M,13.1,0
2020-12-21T01:45:00Z,2020-12-21T01:30:00Z,PT15M,13.1,0
2020-12-21T02:00:00Z,2020-12-21T01:45:00Z,PT15M,13.1,0
2020-12-21T02:15:00Z,2020-12-21T02:00:00Z,PT15M,13.1,0
2020-12-21T02:30:00Z,2020-12-21T02:15:00Z,PT15M,13.1,0
2020-12-21T02:45:00Z,2020-12-21T02:30:00Z,PT15M,13.1,0
2020-12-21T03:00:00Z,2020-12-21T02:45:00Z,PT15M,13.1,0
2020-12-21T03:15:00Z,2020-12-21T03:00:00Z,PT15M,13.1,0
2020-12-21T03:30:00Z,2020-12-21T03:15:00Z,PT15M,13.0,0
2020-12-21T03:45:00Z,2020-12-21T03:30:00Z,PT15M,13.0,0
2020-12-21T04:00:00Z,2020-12-21T03:45:00Z,PT15M,13.0,0
2020-12-21T04:15:00Z,2020-12-21T04:00:00Z,PT15M,13.0,0
2020-12-21T04:30:00Z,2020-12-21T04:15:00Z,PT15M,13.0,0
2020-12-21T04:45:00Z,2020-12-21T04:30:00Z,PT15M,13.0,0
2020-12-21T05:00:00Z,2020-12-21T04:45:00Z,PT15M,13.0,0
2020-12-21T05:15:00Z,2020-12-21T05:00:00Z,PT15M,13.0,0
2020-12-21T05:30:00Z,2020-12-21T05:15:00Z,PT15M,13.0,0
2020-12-21T05:45:00Z,2020-12-21T05:30:00Z,PT15M,13.0,0
2020-12-21T06:00:00Z,2020-12-21T05:45:00Z,PT15M,13.0,0
2020-12-21T06:15:00Z,2020-12-21T06:00:00Z,PT15M,13.0,0
2020-12-21T06:30:00Z,2020-12-21T06:15:00Z,PT15M,13.1,0
