PeriodEnd,PeriodStart,Period,AirTemp,Dni
2019-12-30T00:30:00Z,2019-12-30T00:15:00Z,PT15M,8.3,0
2019-12-30T00:45:00Z,2019-12-30T00:30:00Z,PT15M,8.2,0
2019-12-30T01:00:00Z,2019-12-30T00:45:00Z,PT15M,8.2,0
2019-12-30T01:15:00Z,2019-12-30T01:00:00Z,PT15M,8.1,0
2019-12-30T01:30:00Z,2019-12-30T01:15:00Z,PT15M,8.0,0
2019-12-30T01:45:00Z,2019-12-30T01:30:00Z,PT15M,7.9,0
2019-12-30T02:00:00Z,2019-12-30T01:45:00Z,PT15M,7.9,0
2019-12-30T02:15:00Z,2019-12-30T02:00:00Z,PT15M,7.8,0
2019-12-30T02:30:00Z,2019-12-30T02:15:00Z,PT15M,7.8,0
2019-12-30T02:45:00Z,2019-12-30T02:30:00Z,PT15M,7.7,0
2019-12-30T03:00:00Z,2019-12-30T02:45:00Z,PT15M,7.6,0
2019-12-30T03:15:00Z,2019-12-30T03:00:00Z,PT15M,7.6,0
2019-12-30T03:30:00Z,2019-12-30T03:15:00Z,PT15M,7.5,0
2019-12-30T03:45:00Z,2019-12-30T03:30:00Z,PT15M,7.4,0
2019-12-30T04:00:00Z,2019-12-30T03:45:00Z,PT15M,7.4,0
2019-12-30T04:15:00Z,2019-12-30T04:00:00Z,PT15M,7.3,0
2019-12-30T04:30:00Z,2019-12-30T04:15:00Z,PT15M,7.3,0
2019-12-30T04:45:00Z,2019-12-30T04:30:00Z,PT15M,7.3,0
2019-12-30T05:00:00Z,2019-12-30T04:45:00Z,PT15M,7.2,0
2019-12-30T05:15:00Z,2019-12-30T05:00:00Z,PT15M,7.2,0
2019-12-30T05:30:00Z,2019-12-30T05:15:00Z,PT15M,7.2,0
2019-12-30T05:45:00Z,2019-12-30T05:30:00Z,PT15M,7.2,0
2019-12-30T06:00:00Z,2019-12-30T05:45:00Z,PT15M,7.2,0
2019-12-30T06:15:00Z,2019-12-30T06:00:00Z,PT15M,7.2,0
2019-12-30T06:30:00Z,2019-12-30T06:15:00Z,PT15M,7.2,0
2019-12-30T06:45:00Z,2019-12-30T06:30:00Z,PT15M,7.2,0
2019-12-30T07:00:00Z,2019-12-30T06:45:00Z,PT15M,7.2,0
2019-12-30T07:15:00Z,2019-12-30T07:00:00Z,PT15M,7.1,0
2019-12-30T07:30:00Z,2019-12-30T07:15:00Z,PT15M,7.1,0
2019-12-30T07:45:00Z,2019-12-30T07:30:00Z,PT15M,7.0,0
2019-12-30T08:00:00Z,2019-12-30T07:45:00Z,PT15M,7.0,0
2019-12-30T08:15:00Z,2019-12-30T08:00:00Z,PT15M,7.1,53
2019-12-30T08:30:00Z,2019-12-30T08:15:00Z,PT15M,7.4,242
2019-12-30T08:45:00Z,2019-12-30T08:30:00Z,PT15M,7.6,455
2019-12-30T09:00:00Z,2019-12-30T08:45:00Z,PT15M,7.9,558
2019-12-30T09:15:00Z,2019-12-30T09:00:00Z,PT15M,8.5,624
2019-12-30T09:30:00Z,2019-12-30T09:15:00Z,PT15M,9.2,675
2019-12-30T09:45:00Z,2019-12-30T09:30:00Z,PT15M,10.0,716
2019-12-30T10:00:00Z,2019-12-30T09:45:00Z,PT15M,10.8,749
2019-12-30T10:15:00Z,2019-12-30T10:00:00Z,PT15M,11.5,776
2019-12-30T10:30:00Z,2019-12-30T10:15:00Z,PT15M,12.2,799
2019-12-30T10:45:00Z,2019-12-30T10:30:00Z,PT15M,12.8,817
2019-12-30T11:00:00Z,2019-12-30T10:45:00Z,PT15M,13.4,831
2019-12-30T11:15:00Z,2019-12-30T11:00:00Z,PT15M,13.9,843
2019-12-30T11:30:00Z,2019-12-30T11:15:00Z,PT15M,14.3,852
2019-12-30T11:45:00Z,2019-12-30T11:30:00Z,PT15M,14.6,859
2019-12-30T12:00:00Z,2019-12-30T11:45:00Z,PT15M,15.0,863
2019-12-30T12:15:00Z,2019-12-30T12:00:00Z,PT15M,15.2,866
2019-12-30T12:30:00Z,2019-12-30T12:15:00Z,PT15M,15.2,866
2019-12-30T12:45:00Z,2019-12-30T12:30:00Z,PT15M,15.3,865
2019-12-30T13:00:00Z,2019-12-30T12:45:00Z,PT15M,15.3,862
2019-12-30T13:15:00Z,2019-12-30T13:00:00Z,PT15M,15.3,857
2019-12-30T13:30:00Z,2019-12-30T13:15:00Z,PT15M,15.3,851
2019-12-30T13:45:00Z,2019-12-30T13:30:00Z,PT15M,15.2,842
2019-12-30T14:00:00Z,2019-12-30T13:45:00Z,PT15M,15.1,832
2019-12-30T14:15:00Z,2019-12-30T14:00:00Z,PT15M,15.1,820
2019-12-30T14:30:00Z,2019-12-30T14:15:00Z,PT15M,14.9,805
2019-12-30T14:45:00Z,2019-12-30T14:30:00Z,PT15M,14.8,787
2019-12-30T15:00:00Z,2019-12-30T14:45:00Z,PT15M,14.7,765
2019-12-30T15:15:00Z,2019-12-30T15:00:00Z,PT15M,14.5,739
2019-12-30T15:30:00Z,2019-12-30T15:15:00Z,PT15M,14.2,707
2019-12-30T15:45:00Z,2019-12-30T15:30:00Z,PT15M,13.9,669
2019-12-30T16:00:00Z,2019-12-30T15:45:00Z,PT15M,13.5,621
2019-12-30T16:15:00Z,2019-12-30T16:00:00Z,PT15M,12.9,562
2019-12-30T16:30:00Z,2019-12-30T16:15:00Z,PT15M,12.0,487
2019-12-30T16:45:00Z,2019-12-30T16:30:00Z,PT15M,11.1,345
2019-12-30T17:00:00Z,2019-12-30T16:45:00Z,PT15M,10.3,131
2019-12-30T17:15:00Z,2019-12-30T17:00:00Z,PT15M,9.6,14
2019-12-30T17:30:00Z,2019-12-30T17:15:00Z,PT15M,9.2,0
2019-12-30T17:45:00Z,2019-12-30T17:30:00Z,PT15M,8.9,0
2019-12-30T18:00:00Z,2019-12-30T17:45:00Z,PT15M,8.5,0
2019-12-30T18:15:00Z,2019-12-30T18:00:00Z,PT15M,8.3,0
2019-12-30T18:30:00Z,2019-12-30T18:15:00Z,PT15M,8.1,0
2019-12-30T18:45:00Z,2019-12-30T18:30:00Z,PT15M,8.0,0
2019-12-30T19:00:00Z,2019-12-30T18:45:00Z,PT15M,7.8,0
2019-12-30T19:15:00Z,2019-12-30T19:00:00Z,PT15M,7.7,0
2019-12-30T19:30:00Z,2019-12-30T19:15:00Z,PT15M,7.6,0
2019-12-30T19:45:00Z,2019-12-30T19:30:00Z,PT15M,7.5,0
2019-12-30T20:00:00Z,2019-12-30T19:45:00Z,PT15M,7.4,0
2019-12-30T20:15:00Z,2019-12-30T20:00:00Z,PT15M,7.4,0
2019-12-30T20:30:00Z,2019-12-30T20:15:00Z,PT15M,7.3,0
2019-12-30T20:45:00Z,2019-12-30T20:30:00Z,PT15M,7.3,0
2019-12-30T21:00:00Z,2019-12-30T20:45:00Z,PT15M,7.3,0
2019-12-30T21:15:00Z,2019-12-30T21:00:00Z,PT15M,7.3,0
2019-12-30T21:30:00Z,2019-12-30T21:15:00Z,PT15M,7.3,0
2019-12-30T21:45:00Z,2019-12-30T21:30:00Z,PT15M,7.3,0
2019-12-30T22:00:00Z,2019-12-30T21:45:00Z,PT15M,7.2,0
