PeriodEnd,PeriodStart,Period,AirTemp,Dni
2019-12-31T00:30:00Z,2019-12-31T00:15:00Z,PT15M,34.6,501
2019-12-31T00:45:00Z,2019-12-31T00:30:00Z,PT15M,35.0,503
2019-12-31T01:00:00Z,2019-12-31T00:45:00Z,PT15M,35.4,494
2019-12-31T01:15:00Z,2019-12-31T01:00:00Z,PT15M,35.5,483
2019-12-31T01:30:00Z,2019-12-31T01:15:00Z,PT15M,35.3,472
2019-12-31T01:45:00Z,2019-12-31T01:30:00Z,PT15M,35.1,457
2019-12-31T02:00:00Z,2019-12-31T01:45:00Z,PT15M,34.9,441
2019-12-31T02:15:00Z,2019-12-31T02:00:00Z,PT15M,34.7,424
2019-12-31T02:30:00Z,2019-12-31T02:15:00Z,PT15M,34.6,406
2019-12-31T02:45:00Z,2019-12-31T02:30:00Z,PT15M,34.5,401
2019-12-31T03:00:00Z,2019-12-31T02:45:00Z,PT15M,34.4,404
2019-12-31T03:15:00Z,2019-12-31T03:00:00Z,PT15M,34.2,407
2019-12-31T03:30:00Z,2019-12-31T03:15:00Z,PT15M,34.0,408
2019-12-31T03:45:00Z,2019-12-31T03:30:00Z,PT15M,33.8,393
2019-12-31T04:00:00Z,2019-12-31T03:45:00Z,PT15M,33.6,366
2019-12-31T04:15:00Z,2019-12-31T04:00:00Z,PT15M,33.3,337
2019-12-31T04:30:00Z,2019-12-31T04:15:00Z,PT15M,33.1,308
2019-12-31T04:45:00Z,2019-12-31T04:30:00Z,PT15M,32.8,273
2019-12-31T05:00:00Z,2019-12-31T04:45:00Z,PT15M,32.6,235
2019-12-31T05:15:00Z,2019-12-31T05:00:00Z,PT15M,32.5,176
2019-12-31T05:30:00Z,2019-12-31T05:15:00Z,PT15M,32.5,105
2019-12-31T05:45:00Z,2019-12-31T05:30:00Z,PT15M,32.5,159
2019-12-31T06:00:00Z,2019-12-31T05:45:00Z,PT15M,32.6,172
2019-12-31T06:15:00Z,2019-12-31T06:00:00Z,PT15M,32.0,186
2019-12-31T06:30:00Z,2019-12-31T06:15:00Z,PT15M,31.1,195
2019-12-31T06:45:00Z,2019-12-31T06:30:00Z,PT15M,30.1,38
2019-12-31T07:00:00Z,2019-12-31T06:45:00Z,PT15M,29.1,0
2019-12-31T07:15:00Z,2019-12-31T07:00:00Z,PT15M,27.9,0
2019-12-31T07:30:00Z,2019-12-31T07:15:00Z,PT15M,26.6,0
2019-12-31T07:45:00Z,2019-12-31T07:30:00Z,PT15M,25.3,0
2019-12-31T08:00:00Z,2019-12-31T07:45:00Z,PT15M,24.0,0
2019-12-31T08:15:00Z,2019-12-31T08:00:00Z,PT15M,23.1,0
2019-12-31T08:30:00Z,2019-12-31T08:15:00Z,PT15M,22.5,0
2019-12-31T08:45:00Z,2019-12-31T08:30:00Z,PT15M,22.0,0
2019-12-31T09:00:00Z,2019-12-31T08:45:00Z,PT15M,21.5,0
2019-12-31T09:15:00Z,2019-12-31T09:00:00Z,PT15M,21.2,0
2019-12-31T09:30:00Z,2019-12-31T09:15:00Z,PT15M,21.1,0
2019-12-31T09:45:00Z,2019-12-31T09:30:00Z,PT15M,21.1,0
2019-12-31T10:00:00Z,2019-12-31T09:45:00Z,PT15M,21.0,0
2019-12-31T10:15:00Z,2019-12-31T10:00:00Z,PT15M,20.9,0
2019-12-31T10:30:00Z,2019-12-31T10:15:00Z,PT15M,20.8,0
2019-12-31T10:45:00Z,2019-12-31T10:30:00Z,PT15M,20.7,0
2019-12-31T11:00:00Z,2019-12-31T10:45:00Z,PT15M,20.6,0
2019-12-31T11:15:00Z,2019-12-31T11:00:00Z,PT15M,20.5,0
2019-12-31T11:30:00Z,2019-12-31T11:15:00Z,PT15M,20.3,0
2019-12-31T11:45:00Z,2019-12-31T11:30:00Z,PT15M,20.2,0
